Número Município Nome                        Aponds
     1 1100023   Ariquemes                        4
     2 1100049   Cacoal                           4
     3 1100106   Guajará-Mirim                    2
     4 1100114   Jaru                             2
     5 1100122   Ji-Paraná                        6
     6 1100130   Machadinho D'Oeste               2
     7 1100155   Ouro Preto do Oeste              2
     8 1100189   Pimenta Bueno                    2
     9 1100205   Porto Velho                     22
    10 1100288   Rolim de Moura                   2
    11 1100304   Vilhena                          3
    12 1100452   Buritis                          2
    13 1200203   Cruzeiro do Sul                  3
    14 1200401   Rio Branco                       8
    15 1301209   Coari                            2
    16 1301704   Humaitá                          2
    17 1301852   Iranduba                         2
    18 1301902   Itacoatiara                      3
    19 1302504   Manacapuru                       3
    20 1302603   Manaus                          33
    21 1302702   Manicoré                         2
    22 1303403   Parintins                        3
    23 1304203   Tefé                             2
    24 1400100   Boa Vista                       14
    25 1500107   Abaetetuba                       5
    26 1500206   Acará                            2
    27 1500404   Alenquer                         2
    28 1500602   Altamira                         5
    29 1500800   Ananindeua                      13
    30 1500909   Augusto Corrêa                   2
    31 1501303   Barcarena                        3
    32 1501402   Belém                           44
    33 1501501   Benevides                        2
    34 1501709   Bragança                         4
    35 1501782   Breu Branco                      2
    36 1501808   Breves                           3
    37 1502103   Cametá                           4
    38 1502202   Capanema                         2
    39 1502301   Capitão Poço                     2
    40 1502400   Castanhal                        8
    41 1502707   Conceição do Araguaia            2
    42 1502939   Dom Eliseu                       2
    43 1503200   Igarapé-Açu                      2
    44 1503309   Igarapé-Miri                     2
    45 1503457   Ipixuna do Pará                  2
    46 1503606   Itaituba                         4
    47 1503705   Itupiranga                       2
    48 1503804   Jacundá                          2
    49 1503903   Juruti                           2
    50 1504208   Marabá                           4
    51 1504422   Marituba                         3
    52 1504703   Moju                             2
    53 1504802   Monte Alegre                     2
    54 1505064   Novo Repartimento                2
    55 1505106   Óbidos                           2
    56 1505304   Oriximiná                        2
    57 1505486   Pacajá                           2
    58 1505502   Paragominas                      4
    59 1505536   Parauapebas                      7
    60 1505809   Portel                           2
    61 1506138   Redenção                         3
    62 1506187   Rondon do Pará                   2
    63 1506195   Rurópolis                        2
