Número Município Nome
     1 1100015   Alta Floresta D'Oeste           
     2 1100031   Cabixi                          
     3 1100056   Cerejeiras                      
     4 1100064   Colorado do Oeste               
     5 1100072   Corumbiara                      
     6 1100080   Costa Marques                   
     7 1100098   Espigão D'Oeste                 
     8 1100148   Nova Brasilândia D'Oeste        
     9 1100254   Presidente Médici               
    10 1100262   Rio Crespo                      
    11 1100296   Santa Luzia D'Oeste             
    12 1100320   São Miguel do Guaporé           
    13 1100338   Nova Mamoré                     
    14 1100346   Alvorada D'Oeste                
    15 1100379   Alto Alegre dos Parecis         
    16 1100403   Alto Paraíso                    
    17 1100502   Novo Horizonte do Oeste         
    18 1100601   Cacaulândia                     
    19 1100700   Campo Novo de Rondônia          
    20 1100809   Candeias do Jamari              
    21 1100908   Castanheiras                    
    22 1100924   Chupinguaia                     
    23 1100940   Cujubim                         
    24 1101005   Governador Jorge Teixeira       
    25 1101104   Itapuã do Oeste                 
    26 1101203   Ministro Andreazza              
    27 1101302   Mirante da Serra                
    28 1101401   Monte Negro                     
    29 1101435   Nova União                      
    30 1101450   Parecis                         
    31 1101468   Pimenteiras do Oeste            
    32 1101476   Primavera de Rondônia           
    33 1101484   São Felipe D'Oeste              
    34 1101492   São Francisco do Guaporé        
    35 1101500   Seringueiras                    
    36 1101559   Teixeirópolis                   
    37 1101609   Theobroma                       
    38 1101708   Urupá                           
    39 1101757   Vale do Anari                   
    40 1101807   Vale do Paraíso                 
    41 1200013   Acrelândia                      
    42 1200054   Assis Brasil                    
    43 1200104   Brasiléia                       
    44 1200138   Bujari                          
    45 1200179   Capixaba                        
    46 1200252   Epitaciolândia                  
    47 1200302   Feijó                           
    48 1200328   Jordão                          
    49 1200336   Mâncio Lima                     
    50 1200344   Manoel Urbano                   
    51 1200351   Marechal Thaumaturgo            
    52 1200385   Plácido de Castro               
    53 1200393   Porto Walter                    
    54 1200427   Rodrigues Alves                 
    55 1200435   Santa Rosa do Purus             
    56 1200450   Senador Guiomard                
    57 1200500   Sena Madureira                  
    58 1200609   Tarauacá                        
    59 1200708   Xapuri                          
    60 1200807   Porto Acre                      
    61 1300029   Alvarães                        
    62 1300060   Amaturá                         
    63 1300086   Anamã                           
    64 1300102   Anori                           
    65 1300144   Apuí                            
    66 1300201   Atalaia do Norte                
    67 1300300   Autazes                         
    68 1300409   Barcelos                        
    69 1300508   Barreirinha                     
    70 1300607   Benjamin Constant               
    71 1300631   Beruri                          
    72 1300680   Boa Vista do Ramos              
    73 1300706   Boca do Acre                    
    74 1300805   Borba                           
    75 1300839   Caapiranga                      
    76 1300904   Canutama                        
    77 1301001   Carauari                        
    78 1301100   Careiro                         
    79 1301159   Careiro da Várzea               
    80 1301308   Codajás                         
    81 1301407   Eirunepé                        
    82 1301506   Envira                          
    83 1301605   Fonte Boa                       
    84 1301654   Guajará                         
    85 1301803   Ipixuna                         
    86 1301951   Itamarati                       
    87 1302009   Itapiranga                      
    88 1302108   Japurá                          
    89 1302207   Juruá                           
    90 1302306   Jutaí                           
    91 1302405   Lábrea                          
    92 1302553   Manaquiri                       
    93 1302801   Maraã                           
    94 1302900   Maués                           
    95 1303007   Nhamundá                        
    96 1303106   Nova Olinda do Norte            
    97 1303205   Novo Airão                      
    98 1303304   Novo Aripuanã                   
    99 1303502   Pauini                          
   100 1303536   Presidente Figueiredo           
   101 1303569   Rio Preto da Eva                
   102 1303601   Santa Isabel do Rio Negro       
   103 1303700   Santo Antônio do Içá            
   104 1303809   São Gabriel da Cachoeira        
   105 1303908   São Paulo de Olivença           
   106 1303957   São Sebastião do Uatumã         
   107 1304005   Silves                          
   108 1304062   Tabatinga                       
   109 1304104   Tapauá                          
   110 1304237   Tonantins                       
   111 1304260   Uarini                          
   112 1304302   Urucará                         
   113 1304401   Urucurituba                     
   114 1400027   Amajari                         
   115 1400050   Alto Alegre                     
   116 1400159   Bonfim                          
   117 1400175   Cantá                           
   118 1400209   Caracaraí                       
   119 1400233   Caroebe                         
   120 1400282   Iracema                         
   121 1400308   Mucajaí                         
   122 1400407   Normandia                       
   123 1400456   Pacaraima                       
   124 1400472   Rorainópolis                    
   125 1400506   São João da Baliza              
   126 1400605   São Luiz                        
   127 1400704   Uiramutã                        
   128 1500131   Abel Figueiredo                 
   129 1500305   Afuá                            
   130 1500347   Água Azul do Norte              
   131 1500503   Almeirim                        
   132 1500701   Anajás                          
   133 1500859   Anapu                           
   134 1500958   Aurora do Pará                  
   135 1501006   Aveiro                          
   136 1501105   Bagre                           
   137 1501204   Baião                           
   138 1501253   Bannach                         
   139 1501451   Belterra                        
   140 1501576   Bom Jesus do Tocantins          
   141 1501600   Bonito                          
   142 1501725   Brasil Novo                     
   143 1501758   Brejo Grande do Araguaia        
   144 1501907   Bujaru                          
   145 1501956   Cachoeira do Piriá              
   146 1502004   Cachoeira do Arari              
   147 1502152   Canaã dos Carajás               
   148 1502509   Chaves                          
   149 1502608   Colares                         
   150 1502756   Concórdia do Pará               
   151 1502764   Cumaru do Norte                 
   152 1502772   Curionópolis                    
   153 1502806   Curralinho                      
   154 1502855   Curuá                           
   155 1502905   Curuçá                          
   156 1502954   Eldorado dos Carajás            
   157 1503002   Faro                            
   158 1503044   Floresta do Araguaia            
   159 1503077   Garrafão do Norte               
   160 1503093   Goianésia do Pará               
   161 1503101   Gurupá                          
   162 1503408   Inhangapi                       
   163 1503507   Irituia                         
   164 1503754   Jacareacanga                    
